index,image_id,height_i,height_unit_i,height_m,height_unit_m,width_i,width_unit_i,width_m,width_unit_m,length_i,length_unit_i,length_m,length_unit_m,weight_i,weight_unit_i,weight_m,weight_unit_m,path,full_path
1,81v5eYYgDAL,1.57,inches,0.04,meters,9.65,inches,0.25,meters,11.0,inches,0.28,meters,2.33,pounds,1.06,kilograms,6b/6b6d6182.jpg,assets/abo_images/small/6b/6b6d6182.jpg
2,81anMgS65lL,1.0,inches,0.03,meters,64.0,inches,1.63,meters,86.0,inches,2.18,meters,3.64,pounds,1.65,kilograms,e5/e5722224.jpg,assets/abo_images/small/e5/e5722224.jpg
3,71VHQwEYbIL,35.75,inches,0.91,meters,25.25,inches,0.64,meters,25.0,inches,0.64,meters,34.83,pounds,15.8,kilograms,87/873f2c06.jpg,assets/abo_images/small/87/873f2c06.jpg
4,81k+OYfTruL,1.45,inches,0.04,meters,2.55,inches,0.06,meters,2.5,inches,0.06,meters,0.1875,pounds,0.09,kilograms,58/588a0648.jpg,assets/abo_images/small/58/588a0648.jpg
5,41SZWsouOxL,66.0,inches,1.68,meters,5.0,inches,0.13,meters,5.0,inches,0.13,meters,1.6,pounds,0.73,kilograms,af/af5534dc.jpg,assets/abo_images/small/af/af5534dc.jpg
6,71SeCDVTJtL,32.75,inches,0.83,meters,22.5,inches,0.57,meters,20.0,inches,0.51,meters,31.6,pounds,14.33,kilograms,37/3776c07c.jpg,assets/abo_images/small/37/3776c07c.jpg
7,31pqM2E3XhL,7.0,inches,0.18,meters,2.0,inches,0.05,meters,2.0,inches,0.05,meters,1.0,pounds,0.45,kilograms,00/00de0fb5.jpg,assets/abo_images/small/00/00de0fb5.jpg
8,61sQgbHGamL,0.96,inches,0.02,meters,0.96,inches,0.02,meters,8.9,inches,0.23,meters,5.64,pounds,2.56,kilograms,e6/e69f2e71.jpg,assets/abo_images/small/e6/e69f2e71.jpg
9,91eooupRzIL,3.346456693,inches,0.09,meters,1.18,inches,0.03,meters,9.448818898,inches,0.24,meters,0.119205298,pounds,0.05,kilograms,4c/4cb3e979.jpg,assets/abo_images/small/4c/4cb3e979.jpg
10,41YZdSq2qBL,15.35,inches,0.39,meters,15.75,inches,0.4,meters,15.75,inches,0.4,meters,9.9,pounds,4.49,kilograms,98/981466b0.jpg,assets/abo_images/small/98/981466b0.jpg
11,71WGCw03J5L,38.25,inches,0.97,meters,19.25,inches,0.49,meters,24.0,inches,0.61,meters,26.45,pounds,12.0,kilograms,d6/d6702eab.jpg,assets/abo_images/small/d6/d6702eab.jpg
12,81z0x3DolgL,39.37,inches,1.0,meters,22.05,inches,0.56,meters,21.26,inches,0.54,meters,16.5,pounds,7.48,kilograms,e7/e73ac52b.jpg,assets/abo_images/small/e7/e73ac52b.jpg
13,A1AV8kc3XSL,17.0,inches,0.43,meters,20.0,inches,0.51,meters,20.0,inches,0.51,meters,21.0,pounds,9.53,kilograms,1d/1d5af4ae.jpg,assets/abo_images/small/1d/1d5af4ae.jpg
14,71y8ELA2ObL,3.35,inches,0.09,meters,6.37,inches,0.16,meters,6.37,inches,0.16,meters,1.5,pounds,0.68,kilograms,00/00da1416.jpg,assets/abo_images/small/00/00da1416.jpg
15,71EBcU66yWL,2.17,inches,0.06,meters,6.69,inches,0.17,meters,9.45,inches,0.24,meters,6.909,pounds,3.13,kilograms,c9/c9501fc4.jpg,assets/abo_images/small/c9/c9501fc4.jpg
16,61DypRgcQyL,0.27,inches,0.01,meters,0.27,inches,0.01,meters,96.0,inches,2.44,meters,1.25,pounds,0.57,kilograms,e7/e70adbc6.jpg,assets/abo_images/small/e7/e70adbc6.jpg
17,71JDcK3Q12L,5.5,inches,0.14,meters,2.875,inches,0.07,meters,6.25,inches,0.16,meters,0.79,pounds,0.36,kilograms,8e/8ee9ea32.jpg,assets/abo_images/small/8e/8ee9ea32.jpg
18,81XEgAInzfL,4.2,inches,0.11,meters,2.1,inches,0.05,meters,2.1,inches,0.05,meters,0.44,pounds,0.2,kilograms,04/048fa4c1.jpg,assets/abo_images/small/04/048fa4c1.jpg
19,61OnkGVhMWL,8.66,inches,0.22,meters,9.05,inches,0.23,meters,9.25,inches,0.23,meters,3.58,pounds,1.62,kilograms,35/3595924e.jpg,assets/abo_images/small/35/3595924e.jpg
20,51CwlVm8P9L,20.5,inches,0.52,meters,13.0,inches,0.33,meters,13.0,inches,0.33,meters,1.3,pounds,0.59,kilograms,d4/d486da90.jpg,assets/abo_images/small/d4/d486da90.jpg
21,713F6Qup0fL,3.8188976339,inches,0.1,meters,16.7716535262,inches,0.43,meters,56.0236219901,inches,1.42,meters,53.131405142,pounds,24.1,kilograms,83/83f4c626.jpg,assets/abo_images/small/83/83f4c626.jpg
22,91gTEUtPq8L,7.125,inches,0.18,meters,0.75,inches,0.02,meters,9.125,inches,0.23,meters,0.74,pounds,0.34,kilograms,1c/1ce5eeea.jpg,assets/abo_images/small/1c/1ce5eeea.jpg
23,61WHkPwoBpL,7.01,inches,0.18,meters,4.25,inches,0.11,meters,15.75,inches,0.4,meters,1.46,pounds,0.66,kilograms,4e/4ed092a1.jpg,assets/abo_images/small/4e/4ed092a1.jpg
24,61PkuwgVsPL,0.7,inches,0.02,meters,5.0,inches,0.13,meters,5.0,inches,0.13,meters,0.00440924524,pounds,0.0,kilograms,81/81b1f9ab.jpg,assets/abo_images/small/81/81b1f9ab.jpg
25,71TwBblHdxL,2.1259842498,inches,0.05,meters,1.968503935,inches,0.05,meters,2.1259842498,inches,0.05,meters,0.661386786,pounds,0.3,kilograms,a6/a6a6207f.jpg,assets/abo_images/small/a6/a6a6207f.jpg
26,71XEte41U2L,6.0,inches,0.15,meters,3.13,inches,0.08,meters,1.75,inches,0.04,meters,0.81,pounds,0.37,kilograms,55/55d13c93.jpg,assets/abo_images/small/55/55d13c93.jpg
27,71jxGyJgeKL,3.15,inches,0.08,meters,1.16,inches,0.03,meters,3.17,inches,0.08,meters,0.56,pounds,0.25,kilograms,46/462f9217.jpg,assets/abo_images/small/46/462f9217.jpg
28,81RUg12awAL,29.921259812,inches,0.76,meters,26.377952729,inches,0.67,meters,62.204724346,inches,1.58,meters,127.86811196,pounds,58.0,kilograms,4d/4d52c2c9.jpg,assets/abo_images/small/4d/4d52c2c9.jpg
29,718cImIEe0L,1.3,inches,0.03,meters,1.7,inches,0.04,meters,15.2,inches,0.39,meters,0.3,pounds,0.14,kilograms,82/82942b99.jpg,assets/abo_images/small/82/82942b99.jpg
30,715a-r95jfL,8.8,inches,0.22,meters,2.8,inches,0.07,meters,1.88,inches,0.05,meters,0.0027778245012,pounds,0.0,kilograms,64/64692f21.jpg,assets/abo_images/small/64/64692f21.jpg
31,91bqXDSUhLL,1.99999999796,inches,0.05,meters,0.72047244021,inches,0.02,meters,10.99999998878,inches,0.28,meters,0.7275254646,pounds,0.33,kilograms,59/594cc0f7.jpg,assets/abo_images/small/59/594cc0f7.jpg
32,91loqpgh4lL,34.0,inches,0.86,meters,28.0,inches,0.71,meters,29.0,inches,0.74,meters,47.0,pounds,21.32,kilograms,f7/f77de41b.jpg,assets/abo_images/small/f7/f77de41b.jpg
33,71GsK+ctR0L,0.98,inches,0.02,meters,5.91,inches,0.15,meters,9.45,inches,0.24,meters,0.6,pounds,0.27,kilograms,08/0841f1fb.jpg,assets/abo_images/small/08/0841f1fb.jpg
34,71mNTF6qG7L,0.0,inches,0.0,meters,0.0,inches,0.0,meters,0.0,inches,0.0,meters,0.0,pounds,0.0,kilograms,25/25859ece.jpg,assets/abo_images/small/25/25859ece.jpg
35,71WDymiq8BL,3.35,inches,0.09,meters,6.93,inches,0.18,meters,6.89,inches,0.18,meters,3.26,pounds,1.48,kilograms,5e/5ed07353.jpg,assets/abo_images/small/5e/5ed07353.jpg
36,71rj2K7801L,1.35,inches,0.03,meters,3.35,inches,0.09,meters,12.5,inches,0.32,meters,0.36,pounds,0.16,kilograms,3d/3da78723.jpg,assets/abo_images/small/3d/3da78723.jpg
37,A1Pl+ttWULL,36.0,inches,0.91,meters,0.5,inches,0.01,meters,36.0,inches,0.91,meters,15.0,pounds,6.8,kilograms,8d/8d5e1422.jpg,assets/abo_images/small/8d/8d5e1422.jpg
38,81ctXTw6aDL,8.3,inches,0.21,meters,5.1,inches,0.13,meters,14.2,inches,0.36,meters,0.77,pounds,0.35,kilograms,d3/d3ebee78.jpg,assets/abo_images/small/d3/d3ebee78.jpg
39,81iYbtJwRKL,2.0,inches,0.05,meters,1.2,inches,0.03,meters,1.9,inches,0.05,meters,0.3000050461296,pounds,0.14,kilograms,8e/8ef8a2d4.jpg,assets/abo_images/small/8e/8ef8a2d4.jpg
40,91WX-mn8mDL,36.0,inches,0.91,meters,55.0,inches,1.4,meters,19.0,inches,0.48,meters,132.0,pounds,59.87,kilograms,b3/b3ab5b5e.jpg,assets/abo_images/small/b3/b3ab5b5e.jpg
41,81X8czGRkuL,2.0866141711,inches,0.05,meters,1.39370078598,inches,0.04,meters,2.4803149581,inches,0.06,meters,1.1243575362,pounds,0.51,kilograms,19/192bd775.jpg,assets/abo_images/small/19/192bd775.jpg
42,81sOaAo4RQL,8.5,inches,0.22,meters,3.0,inches,0.08,meters,6.0,inches,0.15,meters,0.521875,pounds,0.24,kilograms,1b/1be1872a.jpg,assets/abo_images/small/1b/1be1872a.jpg
43,7150-rpr4qL,42.52,inches,1.08,meters,22.0,inches,0.56,meters,18.5,inches,0.47,meters,19.8,pounds,8.98,kilograms,e2/e2382c2a.jpg,assets/abo_images/small/e2/e2382c2a.jpg
44,91czg5Nkc5L,32.7,inches,0.83,meters,29.9,inches,0.76,meters,21.7,inches,0.55,meters,25.7,pounds,11.66,kilograms,64/647b7112.jpg,assets/abo_images/small/64/647b7112.jpg
45,41zpikeFrNL,9.85,inches,0.25,meters,4.1,inches,0.1,meters,12.1,inches,0.31,meters,5.195,pounds,2.36,kilograms,ef/ef5dd031.jpg,assets/abo_images/small/ef/ef5dd031.jpg
46,41zu5+hs8XL,17.75,inches,0.45,meters,17.5,inches,0.44,meters,17.38,inches,0.44,meters,16.1,pounds,7.3,kilograms,ea/ea913ec5.jpg,assets/abo_images/small/ea/ea913ec5.jpg
47,81cbJw2lbPL,32.0,inches,0.81,meters,39.0,inches,0.99,meters,107.0,inches,2.72,meters,137.0,pounds,62.14,kilograms,19/1946b865.jpg,assets/abo_images/small/19/1946b865.jpg
48,A1K+v-ZI2hL,9.6,inches,0.24,meters,10.0,inches,0.25,meters,16.5,inches,0.42,meters,2.34,pounds,1.06,kilograms,38/381e89e6.jpg,assets/abo_images/small/38/381e89e6.jpg
49,81dBJik9uNL,2.36,inches,0.06,meters,1.65,inches,0.04,meters,6.3,inches,0.16,meters,0.33,pounds,0.15,kilograms,0b/0b2cbd1c.jpg,assets/abo_images/small/0b/0b2cbd1c.jpg
50,61QwC--uzUL,5.6,inches,0.14,meters,3.3,inches,0.08,meters,3.3,inches,0.08,meters,0.45,pounds,0.2,kilograms,03/03d675f2.jpg,assets/abo_images/small/03/03d675f2.jpg
51,91zcIKjqOLL,13.99999998572,inches,0.36,meters,9.9999999898,inches,0.25,meters,1.20078740035,inches,0.03,meters,1.763698096,pounds,0.8,kilograms,e1/e15e79ae.jpg,assets/abo_images/small/e1/e15e79ae.jpg
52,71ury9JABhL,4.43,inches,0.11,meters,3.0,inches,0.08,meters,3.0,inches,0.08,meters,0.94,pounds,0.43,kilograms,26/26aa104c.jpg,assets/abo_images/small/26/26aa104c.jpg
53,711Y9OtyXQL,0.7,inches,0.02,meters,5.0,inches,0.13,meters,5.0,inches,0.13,meters,0.0053572329666,pounds,0.0,kilograms,7b/7bbfd8a5.jpg,assets/abo_images/small/7b/7bbfd8a5.jpg
54,71GJ+si7W+L,5.3,inches,0.13,meters,3.7,inches,0.09,meters,6.53,inches,0.17,meters,1.65,pounds,0.75,kilograms,b1/b17ca6ae.jpg,assets/abo_images/small/b1/b17ca6ae.jpg
55,81N7qa21XSL,1.9685,inches,0.05,meters,12.00785,inches,0.3,meters,12.00785,inches,0.3,meters,1.873929227,pounds,0.85,kilograms,63/634efa2f.jpg,assets/abo_images/small/63/634efa2f.jpg
56,71SjXuX-1eL,0.0,inches,0.0,meters,0.0,inches,0.0,meters,0.0,inches,0.0,meters,0.0,pounds,0.0,kilograms,83/834448f4.jpg,assets/abo_images/small/83/834448f4.jpg
57,81yiaE45j+L,33.464566895,inches,0.85,meters,78.7401574,inches,2.0,meters,36.220472404,inches,0.92,meters,105.82188576,pounds,48.0,kilograms,2e/2e2def55.jpg,assets/abo_images/small/2e/2e2def55.jpg
58,51cHzFSks8L,5.511811018,inches,0.14,meters,3.149606296,inches,0.08,meters,7.086614166,inches,0.18,meters,3.2297721383,pounds,1.46,kilograms,3d/3d82df52.jpg,assets/abo_images/small/3d/3d82df52.jpg
59,71gBi+BmkHL,50.6,inches,1.29,meters,28.7,inches,0.73,meters,21.65,inches,0.55,meters,40.8,pounds,18.51,kilograms,91/915ed977.jpg,assets/abo_images/small/91/915ed977.jpg
60,61ufHxYltkL,1.25,inches,0.03,meters,0.78,inches,0.02,meters,3.75,inches,0.1,meters,0.56,pounds,0.25,kilograms,64/6411ed8a.jpg,assets/abo_images/small/64/6411ed8a.jpg
61,91TYp+aDEpL,34.5,inches,0.88,meters,35.0,inches,0.89,meters,32.5,inches,0.83,meters,46.31,pounds,21.01,kilograms,97/970f0802.jpg,assets/abo_images/small/97/970f0802.jpg
62,81BIYLN5i3L,26.8,inches,0.68,meters,40.9,inches,1.04,meters,81.5,inches,2.07,meters,126.1,pounds,57.2,kilograms,23/23f35113.jpg,assets/abo_images/small/23/23f35113.jpg
63,81p1zx67LuL,7.38,inches,0.19,meters,4.5,inches,0.11,meters,4.5,inches,0.11,meters,1.36,pounds,0.62,kilograms,11/1126ac72.jpg,assets/abo_images/small/11/1126ac72.jpg
64,41XBgu7mAvL,7.75,inches,0.2,meters,2.188,inches,0.06,meters,5.313,inches,0.13,meters,0.675,pounds,0.31,kilograms,0a/0a520214.jpg,assets/abo_images/small/0a/0a520214.jpg
65,91ZqJcZkC8L,3.2,inches,0.08,meters,14.4,inches,0.37,meters,18.2,inches,0.46,meters,1.7,pounds,0.77,kilograms,dc/dcfa0664.jpg,assets/abo_images/small/dc/dcfa0664.jpg
66,81BqPkMJy2L,11.1,inches,0.28,meters,8.0,inches,0.2,meters,8.0,inches,0.2,meters,5.545,pounds,2.52,kilograms,91/91a94968.jpg,assets/abo_images/small/91/91a94968.jpg
67,81i9TuyrkbL,1.17,inches,0.03,meters,8.99,inches,0.23,meters,10.99,inches,0.28,meters,1.48,pounds,0.67,kilograms,fd/fdec7b7b.jpg,assets/abo_images/small/fd/fdec7b7b.jpg
68,71m7J5NGINL,4.85,inches,0.12,meters,5.51,inches,0.14,meters,12.3,inches,0.31,meters,0.88,pounds,0.4,kilograms,91/9169e290.jpg,assets/abo_images/small/91/9169e290.jpg
69,91tQv3y5ynL,3.346456693,inches,0.09,meters,0.78,inches,0.02,meters,9.842519685,inches,0.25,meters,0.06401766,pounds,0.03,kilograms,d1/d14a3d97.jpg,assets/abo_images/small/d1/d14a3d97.jpg
70,91+rDNDy7WL,43.0,inches,1.09,meters,44.0,inches,1.12,meters,38.0,inches,0.97,meters,99.0,pounds,44.91,kilograms,27/27167859.jpg,assets/abo_images/small/27/27167859.jpg
71,71HtenlSAjL,3.149606296,inches,0.08,meters,6.1023621985,inches,0.15,meters,9.055118101,inches,0.23,meters,0.110231131,pounds,0.05,kilograms,8e/8e412b47.jpg,assets/abo_images/small/8e/8e412b47.jpg
72,412RAbF30aL,3.0,inches,0.08,meters,5.0,inches,0.13,meters,8.0,inches,0.2,meters,1.7306287567,pounds,0.78,kilograms,3a/3a5be898.jpg,assets/abo_images/small/3a/3a5be898.jpg
73,91yTxs3q12L,11.81102361,inches,0.3,meters,78.7401574,inches,2.0,meters,70.86614166,inches,1.8,meters,1.763698096,pounds,0.8,kilograms,c9/c9572b36.jpg,assets/abo_images/small/c9/c9572b36.jpg
74,91LzdJre5BL,25.0,inches,0.64,meters,3.0,inches,0.08,meters,30.0,inches,0.76,meters,7.0,pounds,3.18,kilograms,c5/c54789ae.jpg,assets/abo_images/small/c5/c54789ae.jpg
75,81Owh7RYFkL,6.75,inches,0.17,meters,2.0,inches,0.05,meters,2.0,inches,0.05,meters,0.72,pounds,0.33,kilograms,b9/b974c4f2.jpg,assets/abo_images/small/b9/b974c4f2.jpg
76,71a-SC9HLpL,37.401574765,inches,0.95,meters,23.62204722,inches,0.6,meters,22.440944859,inches,0.57,meters,17.196056436,pounds,7.8,kilograms,bc/bc39defe.jpg,assets/abo_images/small/bc/bc39defe.jpg
77,51v12hj4slL,112.2,inches,2.85,meters,112.2,inches,2.85,meters,112.2,inches,2.85,meters,34.5,pounds,15.65,kilograms,b1/b1776988.jpg,assets/abo_images/small/b1/b1776988.jpg
78,71NHiEG2o6L,5.91,inches,0.15,meters,5.08,inches,0.13,meters,5.08,inches,0.13,meters,0.57,pounds,0.26,kilograms,81/816700dc.jpg,assets/abo_images/small/81/816700dc.jpg
79,91XM523rZgL,5.0,inches,0.13,meters,18.5,inches,0.47,meters,19.0,inches,0.48,meters,4.08,pounds,1.85,kilograms,45/45e8e821.jpg,assets/abo_images/small/45/45e8e821.jpg
80,91tXgMOPq6L,1.99999999796,inches,0.05,meters,0.75196850317,inches,0.02,meters,10.99999998878,inches,0.28,meters,0.7495716908,pounds,0.34,kilograms,d6/d65bfaf0.jpg,assets/abo_images/small/d6/d65bfaf0.jpg
81,71AR2fWLERL,5.0,inches,0.13,meters,5.0,inches,0.13,meters,5.0,inches,0.13,meters,0.4375,pounds,0.2,kilograms,10/108742cb.jpg,assets/abo_images/small/10/108742cb.jpg
82,91JY6nCPe2L,3.1,inches,0.08,meters,9.0,inches,0.23,meters,11.0,inches,0.28,meters,3.7,pounds,1.68,kilograms,c6/c6e65f5c.jpg,assets/abo_images/small/c6/c6e65f5c.jpg
83,811T5o5JDmL,0.63,inches,0.02,meters,7.09,inches,0.18,meters,7.09,inches,0.18,meters,0.38,pounds,0.17,kilograms,26/26d7a6a3.jpg,assets/abo_images/small/26/26d7a6a3.jpg
84,81ucGjQVj-L,18.30705,inches,0.46,meters,14.1732,inches,0.36,meters,16.9291,inches,0.43,meters,24.25084882,pounds,11.0,kilograms,0c/0c789496.jpg,assets/abo_images/small/0c/0c789496.jpg
85,413-IH-lUtL,12.125,inches,0.31,meters,8.3125,inches,0.21,meters,11.75,inches,0.3,meters,0.97,pounds,0.44,kilograms,e7/e7107e2b.jpg,assets/abo_images/small/e7/e7107e2b.jpg
86,61ZFEZJmM7L,3.8,inches,0.1,meters,1.0,inches,0.03,meters,7.8,inches,0.2,meters,0.18,pounds,0.08,kilograms,1a/1ae5fec4.jpg,assets/abo_images/small/1a/1ae5fec4.jpg
87,51EO9EvDtJL,31.49606296,inches,0.8,meters,10.236220462,inches,0.26,meters,49.212598375,inches,1.25,meters,44.0924524,pounds,20.0,kilograms,18/18b4435f.jpg,assets/abo_images/small/18/18b4435f.jpg
88,41GKLMSqyIL,18.5,inches,0.47,meters,9.0,inches,0.23,meters,9.0,inches,0.23,meters,1.35,pounds,0.61,kilograms,a3/a3b67955.jpg,assets/abo_images/small/a3/a3b67955.jpg
89,7197-tgTCeL,2.8,inches,0.07,meters,17.36,inches,0.44,meters,10.16,inches,0.26,meters,8.5759819918,pounds,3.89,kilograms,21/21afbdfd.jpg,assets/abo_images/small/21/21afbdfd.jpg
90,616KXWHm85L,12.28,inches,0.31,meters,10.8,inches,0.27,meters,16.7,inches,0.42,meters,5.25,pounds,2.38,kilograms,b3/b3968a8a.jpg,assets/abo_images/small/b3/b3968a8a.jpg
91,71haXxox86L,5.35,inches,0.14,meters,2.05,inches,0.05,meters,2.1,inches,0.05,meters,0.56,pounds,0.25,kilograms,52/52967463.jpg,assets/abo_images/small/52/52967463.jpg
92,917+G9Z2W+L,13.0,inches,0.33,meters,3.2,inches,0.08,meters,17.5,inches,0.44,meters,3.1,pounds,1.41,kilograms,e6/e6a85bb3.jpg,assets/abo_images/small/e6/e6a85bb3.jpg
93,61MsDrGhD9L,4.5,inches,0.11,meters,1.0,inches,0.03,meters,12.2,inches,0.31,meters,0.099,pounds,0.04,kilograms,58/5808c0a7.jpg,assets/abo_images/small/58/5808c0a7.jpg
94,81CtXqhGF2L,8.75,inches,0.22,meters,3.0,inches,0.08,meters,3.75,inches,0.1,meters,0.75,pounds,0.34,kilograms,fe/fe1e14d8.jpg,assets/abo_images/small/fe/fe1e14d8.jpg
95,61s2FIK+elL,9.355,inches,0.24,meters,7.49,inches,0.19,meters,12.24,inches,0.31,meters,2.797,pounds,1.27,kilograms,a7/a770b5a8.jpg,assets/abo_images/small/a7/a770b5a8.jpg
96,91EuHgRqAyL,18.0,inches,0.46,meters,18.0,inches,0.46,meters,33.0,inches,0.84,meters,32.0,pounds,14.51,kilograms,11/1121d2c4.jpg,assets/abo_images/small/11/1121d2c4.jpg
97,81MlYbF+PwL,6.22,inches,0.16,meters,2.92,inches,0.07,meters,1.71,inches,0.04,meters,0.67,pounds,0.3,kilograms,2f/2f326911.jpg,assets/abo_images/small/2f/2f326911.jpg
98,61vbMzLKWsL,4.5,inches,0.11,meters,3.0,inches,0.08,meters,3.0,inches,0.08,meters,1.12,pounds,0.51,kilograms,5d/5d2b885c.jpg,assets/abo_images/small/5d/5d2b885c.jpg
99,A1L0wK-1DZL,31.75,inches,0.81,meters,1.5,inches,0.04,meters,31.75,inches,0.81,meters,6.3,pounds,2.86,kilograms,f4/f470edb3.jpg,assets/abo_images/small/f4/f470edb3.jpg
100,71F7teSHzRL,16.25,inches,0.41,meters,8.26,inches,0.21,meters,10.0,inches,0.25,meters,7.5,pounds,3.4,kilograms,1e/1e1a5d5e.jpg,assets/abo_images/small/1e/1e1a5d5e.jpg
