,Scale ID,Scale,Dataset,Language,0,1,2,3,4,5,6,7
0,1,small-largeXX.rankings,wilkinson,EN,big,large,huge,enormous,gigantic,,,
1,1,small-largeXX.rankings,wilkinson,FR,grand,large,immense,énorme,gigantesque,,,
2,1,small-largeXX.rankings,wilkinson,EL,μεγάλος,ευρύς,τεράστιος,πελώριος,γιγάντιος,,,
3,1,small-largeXX.rankings,wilkinson,ES,grande,grandísimo,enorme,gigantesco,inmenso,,,
4,2,beautiful-uglyXX.rankings,wilkinson,EN,ugly,hideous,,,,,,
5,2,beautiful-uglyXX.rankings,wilkinson,FR,moche,hideux,,,,,,
6,2,beautiful-uglyXX.rankings,wilkinson,EL,άσχημος,φρικτός,,,,,,
7,2,beautiful-uglyXX.rankings,wilkinson,ES,feo,horrible,,,,,,
8,3,XXgood-bad.rankings,wilkinson,EN,good,great,wonderful,awesome,,,,
9,3,XXgood-bad.rankings,wilkinson,FR,bon,génial,merveilleux,impressionnant,,,,
10,3,XXgood-bad.rankings,wilkinson,EL,καλός,σπουδαίος,υπέροχος,καταπληκτικός,,,,
11,3,XXgood-bad.rankings,wilkinson,ES,bueno,genial,fantástico,impresionante,,,,
12,4,few-manyXX.rankings,wilkinson,EN,few,some,several,many,,,,
13,4,few-manyXX.rankings,wilkinson,FR,quelques-uns,certains,nombreux,beaucoup de,,,,
14,4,few-manyXX.rankings,wilkinson,EL,λίγοι,κάποιοι,μερικοί,πολλοί,,,,
15,4,few-manyXX.rankings,wilkinson,ES,pocos,algunos,varios,muchos,,,,
16,5,XXbright-dark.rankings,wilkinson,EN,light,bright,,,,,,
17,5,XXbright-dark.rankings,wilkinson,FR,lumineux,brillant,,,,,,
18,5,XXbright-dark.rankings,wilkinson,EL,φωτεινός,λαμπερός ,,,,,,
19,5,XXbright-dark.rankings,wilkinson,ES,luminoso,brillante,,,,,,
20,6,smart-stupidXX.rankings,wilkinson,EN,dumb,stupid,idiotic,,,,,
21,6,smart-stupidXX.rankings,wilkinson,FR,idiot,stupide,bête,,,,,
22,6,smart-stupidXX.rankings,wilkinson,EL,ηλίθιος,χαζός,βλακώδης,,,,,
23,6,smart-stupidXX.rankings,wilkinson,ES,tonto,estúpido,idiota,,,,,
24,7,XXhot-cold.rankings,wilkinson,EN,warm,hot,,,,,,
25,7,XXhot-cold.rankings,wilkinson,FR,chaleureux,chaud,,,,,,
26,7,XXhot-cold.rankings,wilkinson,EL,θερμός,ζεστός,,,,,,
27,7,XXhot-cold.rankings,wilkinson,ES,tibio,caliente,,,,,,
28,8,XXsmall-large.rankings,wilkinson,EN,small,tiny,miniscule,,,,,
29,8,XXsmall-large.rankings,wilkinson,FR,petit,infime,minuscule,,,,,
30,8,XXsmall-large.rankings,wilkinson,EL,μικρός,μικρούλης,μικροσκοπικός,,,,,
31,8,XXsmall-large.rankings,wilkinson,ES,pequeño,minúsculo,diminuto,,,,,
32,9,new-oldXX.rankings,wilkinson,EN,old,ancient,,,,,,
33,9,new-oldXX.rankings,wilkinson,FR,vieux,ancien,,,,,,
34,9,new-oldXX.rankings,wilkinson,EL,παλιός,αρχαίος,,,,,,
35,9,new-oldXX.rankings,wilkinson,ES,viejo,antiguo,,,,,,
36,10,bright-darkXX.rankings,wilkinson,EN,dim,dark,,,,,,
37,10,bright-darkXX.rankings,wilkinson,FR,sombre,foncé,,,,,,
38,10,bright-darkXX.rankings,wilkinson,EL,σκούρος,σκοτεινός,,,,,,
39,10,bright-darkXX.rankings,wilkinson,ES,sombrío,oscuro,,,,,,
40,11,different-sameXX.rankings,wilkinson,EN,similar,alike,same,,,,,
41,11,different-sameXX.rankings,wilkinson,FR,semblable,pareil,même,,,,,
42,11,different-sameXX.rankings,wilkinson,EL,όμοιος,παρόμοιος,ίδιος,,,,,
43,11,different-sameXX.rankings,wilkinson,ES,parecido,igual,idéntico,,,,,
44,12,XXnew-old.rankings,wilkinson,EN,fresh,new,,,,,,
45,12,XXnew-old.rankings,wilkinson,FR,frais,nouveau,,,,,,
46,12,XXnew-old.rankings,wilkinson,EL,φρέσκος,καινούριος,,,,,,
47,12,XXnew-old.rankings,wilkinson,ES,fresco,nuevo,,,,,,
48,13,XXsmart-stupid.rankings,wilkinson,EN,smart,intelligent,,,,,,
49,13,XXsmart-stupid.rankings,wilkinson,FR,malin,intelligent,,,,,,
50,13,XXsmart-stupid.rankings,wilkinson,EL,έξυπνος,ευφυής,,,,,,
51,13,XXsmart-stupid.rankings,wilkinson,ES,listo,inteligente,,,,,,
52,14,difficult-easyXX.rankings,wilkinson,EN,easy,simple,,,,,,
53,14,difficult-easyXX.rankings,wilkinson,FR,facile,simple,,,,,,
54,14,difficult-easyXX.rankings,wilkinson,EL,εύκολος,απλός,,,,,,
55,14,difficult-easyXX.rankings,wilkinson,ES,fácil,simple,,,,,,
56,15,hot-coldXX.rankings,wilkinson,EN,warm,cold,freezing,,,,,
57,15,hot-coldXX.rankings,wilkinson,FR,chaud,froid,glacial,,,,,
58,15,hot-coldXX.rankings,wilkinson,EL,θερμός,κρύος,παγωμένος,,,,,
59,15,hot-coldXX.rankings,wilkinson,ES,tibio,frío,helado,,,,,
60,16,XXbeautiful-ugly.rankings,wilkinson,EN,pretty,beautiful,gorgeous,,,,,
61,16,XXbeautiful-ugly.rankings,wilkinson,FR,joli || mignon,beau,magnifique,,,,,
62,16,XXbeautiful-ugly.rankings,wilkinson,EL,χαριτωμένος,όμορφος,υπέροχος,,,,,
63,16,XXbeautiful-ugly.rankings,wilkinson,ES,bonito,bello,precioso,,,,,
64,17,slow-fastXX.rankings,wilkinson,EN,quick,fast,speedy,,,,,
65,17,slow-fastXX.rankings,wilkinson,FR,agile,rapide,prompt,,,,,
66,17,slow-fastXX.rankings,wilkinson,EL,γρήγορος,ταχύς,σβέλτος,,,,,
67,17,slow-fastXX.rankings,wilkinson,ES,rápido,veloz,,,,,,
68,18,good-badXX.rankings,wilkinson,EN,bad,awful,terrible,horrible,,,,
69,18,good-badXX.rankings,wilkinson,FR,mauvais,affreux,terrible,horrible,,,,
70,18,good-badXX.rankings,wilkinson,EL,κακός,απαίσιος,τρομερός,φρικτός,,,,
71,18,good-badXX.rankings,wilkinson,ES,malo,terrible,horrible,horroroso,,,,
72,19,XXdry-wet.rankings,wilkinson,EN,dry,arid,parched,,,,,
73,19,XXdry-wet.rankings,wilkinson,FR,sec,aride,asséché || desséché,,,,,
74,19,XXdry-wet.rankings,wilkinson,EL,ξερός || ξηρός || στεγνός,άνυδρος,κατάξερος,,,,,
75,19,XXdry-wet.rankings,wilkinson,ES,seco,reseco,árido,,,,,
76,20,XXdifficult-easy.rankings,wilkinson,EN,hard,difficult,,,,,,
77,20,XXdifficult-easy.rankings,wilkinson,FR,dur,difficile,,,,,,
78,20,XXdifficult-easy.rankings,wilkinson,EL,σκληρός,δύσκολος,,,,,,
79,20,XXdifficult-easy.rankings,wilkinson,ES,duro,difícil,,,,,,
80,21,dry-wetXX.rankings,wilkinson,EN,damp,moist,wet,,,,,
81,21,dry-wetXX.rankings,wilkinson,FR,moite,mouillé,humide,,,,,
82,21,dry-wetXX.rankings,wilkinson,EL,νοτισμένος,υγρός,βρεγμένος,,,,,
83,21,dry-wetXX.rankings,wilkinson,ES,húmedo,mojado,empapado,,,,,
84,22,XXfat-lean.rankings,demelo,EN,overweight,chubby,fat,obese,,,,
85,22,XXfat-lean.rankings,demelo,FR,en surpoids,rondelet,gros,obèse,,,,
86,22,XXfat-lean.rankings,demelo,EL,υπέρβαρος,παχουλός,χονδρός,παχύσαρκος,,,,
87,22,XXfat-lean.rankings,demelo,ES,con sobrepeso,regordete,gordo,obeso,,,,
88,23,XXclean-dirty.rankings,demelo,EN,clean,spotless || immaculate,,,,,,
89,23,XXclean-dirty.rankings,demelo,FR,propre,impeccable || immaculé,,,,,,
90,23,XXclean-dirty.rankings,demelo,EL,καθαρός,πεντακάθαρος ,,,,,,
91,23,XXclean-dirty.rankings,demelo,ES,limpio,impoluto,inmaculado,,,,,
92,24,XXbig-little.rankings,demelo,EN,sizeable,big || large,huge,colossal,,,,
93,24,XXbig-little.rankings,demelo,FR,considérable,grand,énorme || immense,colossal,,,,
94,24,XXbig-little.rankings,demelo,EL,σημαντικός,μεγάλος,τεράστιος,κολοσσιαίος,,,,
95,24,XXbig-little.rankings,demelo,ES,considerable,grande,enorme,colosal,,,,
96,25,XXsatisfactory-unsatisfactory.rankings,demelo,EN,acceptable || okay || alright,right,,,,,,
97,25,XXsatisfactory-unsatisfactory.rankings,demelo,FR,acceptable ,correct ,,,,,,
98,25,XXsatisfactory-unsatisfactory.rankings,demelo,EL,αποδεκτός,σωστός,,,,,,
99,25,XXsatisfactory-unsatisfactory.rankings,demelo,ES,aceptable,correcto,,,,,,
100,26,XXmany-few.rankings,demelo,EN,some,many,numerous,galore,,,,
101,26,XXmany-few.rankings,demelo,FR,certains || quelques,beaucoup de,nombreux,en abondance,,,,
102,26,XXmany-few.rankings,demelo,EL,μερικοί,πολλοί,πολυάριθμοι,άφθονοι,,,,
103,26,XXmany-few.rankings,demelo,ES,algunos,muchos,numerosos,abundantes,,,,
104,27,XXtasty-tasteless.rankings,demelo,EN,flavorful,zesty,hot || spicy,,,,,
105,27,XXtasty-tasteless.rankings,demelo,FR,goûteux || savoureux,piquant,épicé,,,,,
106,27,XXtasty-tasteless.rankings,demelo,EL,γευστικός,πικάντικος,καυτερός,,,,,
107,27,XXtasty-tasteless.rankings,demelo,ES,sabroso,fuerte,picante,,,,,
108,28,XXinvolved-uninvolved.rankings,demelo,EN,interested,concerned,involved,,,,,
109,28,XXinvolved-uninvolved.rankings,demelo,FR,intéressé,concerné ,impliqué,,,,,
110,28,XXinvolved-uninvolved.rankings,demelo,EL,ενδιαφερόμενος,προβληματισμένος,εμπλεκόμενος,,,,,
111,28,XXinvolved-uninvolved.rankings,demelo,ES,interesado,implicado,involucrado,,,,,
112,29,XXthick-thin.rankings,demelo,EN,thick,dense,impenetrable,,,,,
113,29,XXthick-thin.rankings,demelo,FR,épais,dense ,impénétrable,,,,,
114,29,XXthick-thin.rankings,demelo,EL,παχύς,πυκνός,αδιαπέραστος,,,,,
115,29,XXthick-thin.rankings,demelo,ES,grueso,espeso,impenetrable,,,,,
116,30,XXbloody-bloodless.rankings,demelo,EN,violent,homicidal || murderous,,,,,,
117,30,XXbloody-bloodless.rankings,demelo,FR,violent,meurtrier,,,,,,
118,30,XXbloody-bloodless.rankings,demelo,EL,βίαιος,δολοφονικός,,,,,,
119,30,XXbloody-bloodless.rankings,demelo,ES,violento,homicida || asesino,,,,,,
120,31,hopeful-hopelessXX.rankings,demelo,EN,bleak || desperate,hopeless,,,,,,
121,31,hopeful-hopelessXX.rankings,demelo,FR,morne,désespéré,,,,,,
122,31,hopeful-hopelessXX.rankings,demelo,EL,θλιμμένος || θλιβερός,απελπισμένος,,,,,,
123,31,hopeful-hopelessXX.rankings,demelo,ES,desolador || desalentador,desesperado,,,,,,
124,32,loose-tightXX.rankings,demelo,EN,close,tight,snug,,,,,
125,32,loose-tightXX.rankings,demelo,FR,proche,serré ,moulant,,,,,
126,32,loose-tightXX.rankings,demelo,EL,στενός,σφιχτός ,κολλητός,,,,,
127,32,loose-tightXX.rankings,demelo,ES,ajustado,apretado,ceñido,,,,,
128,33,XXcomprehensive-incomprehensive2.rankings,demelo,EN,general,extensive,complete || comprehensive,universal,,,,
129,33,XXcomprehensive-incomprehensive2.rankings,demelo,FR,général,vaste,complet || exhaustif,universel,,,,
130,33,XXcomprehensive-incomprehensive2.rankings,demelo,EL,γενικός,εκτενής || εκτεταμένος,πλήρης,καθολικός,,,,
131,33,XXcomprehensive-incomprehensive2.rankings,demelo,ES,general,extenso || amplio,completo,universal,,,,
132,34,current-noncurrentXX.rankings,demelo,EN,old,obsolete || outdated,,,,,,
133,34,current-noncurrentXX.rankings,demelo,FR,vieux || ancien,obsolète || désuet,,,,,,
134,34,current-noncurrentXX.rankings,demelo,EL,παλιός,απαρχαιωμένος || ξεπερασμένος,,,,,,
135,34,current-noncurrentXX.rankings,demelo,ES,viejo,anticuado,obsoleto ,,,,,
136,35,XXserious-frivolous.rankings,demelo,EN,real,solemn,serious,grave,,,,
137,35,XXserious-frivolous.rankings,demelo,FR,réel ,solennel,sérieux,grave,,,,
138,35,XXserious-frivolous.rankings,demelo,EL,πραγματικός,επίσημος,σοβαρός,βαρύς,,,,
139,35,XXserious-frivolous.rankings,demelo,ES,real,solemne,serio,grave,,,,
140,36,XXcontent-discontent.rankings,demelo,EN,content || satisfied,pleased || happy,,,,,,
141,36,XXcontent-discontent.rankings,demelo,FR,content || satisfait,heureux,ravi,,,,,
142,36,XXcontent-discontent.rankings,demelo,EL,ικανοποιημένος,χαρούμενος || ευτυχής,πανευτυχής,,,,,
143,36,XXcontent-discontent.rankings,demelo,ES,satisfecho,complacido,contento,feliz,,,,
144,37,XXhappy-unhappy.rankings,demelo,EN,happy || content,euphoric,,,,,,
145,37,XXhappy-unhappy.rankings,demelo,FR,heureux || content,euphorique,,,,,,
146,37,XXhappy-unhappy.rankings,demelo,EL,ευτυχισμένος || ευτυχής,ευφορικός ,,,,,,
147,37,XXhappy-unhappy.rankings,demelo,ES,contento,feliz,eufórico,,,,,
148,38,far-closeXX.rankings,demelo,EN,nearby || near,close,adjacent,,,,,
149,38,far-closeXX.rankings,demelo,FR,proche || à proximité,à côté,adjacent || contigu,,,,,
150,38,far-closeXX.rankings,demelo,EL,κοντινός || εγγύς,διπλανός,γειτονικός || παρακείμενος,,,,,
151,38,far-closeXX.rankings,demelo,ES,cercano,contiguo || adyacente,,,,,,
152,39,XXseductive-unseductive.rankings,demelo,EN,attractive,sexy,seductive,,,,,
153,39,XXseductive-unseductive.rankings,demelo,FR,attirant,sexy,séduisant ,,,,,
154,39,XXseductive-unseductive.rankings,demelo,EL,γοητευτικός,σέξυ,θελκτικός || ελκυστικός,,,,,
155,39,XXseductive-unseductive.rankings,demelo,ES,atractivo,sexy,seductor,,,,,
156,40,careful-carelessXX.rankings,demelo,EN,negligent,careless,reckless,,,,,
157,40,careful-carelessXX.rankings,demelo,FR,négligent,imprudent,téméraire,,,,,
158,40,careful-carelessXX.rankings,demelo,EL,αμελής || απρόσεκτος,ανεύθυνος,απερίσκεπτος,,,,,
159,40,careful-carelessXX.rankings,demelo,ES,descuidado,negligente,temerario,,,,,
160,41,XXecht-counterfeit.rankings,demelo,EN,good,real,authentic,,,,,
161,41,XXecht-counterfeit.rankings,demelo,FR,bon,réel,authentique,,,,,
162,41,XXecht-counterfeit.rankings,demelo,EL,αληθινός,πραγματικός,αυθεντικός,,,,,
163,41,XXecht-counterfeit.rankings,demelo,ES,verdadero,real,auténtico,,,,,
164,42,XXnoxious-innocuous.rankings,demelo,EN,harmful,toxic,deadly,,,,,
165,42,XXnoxious-innocuous.rankings,demelo,FR,nocif || nuisible,toxique,mortel,,,,,
166,42,XXnoxious-innocuous.rankings,demelo,EL,επιβλαβής || βλαβερός,τοξικός,καταστροφικός || θανατηφόρος,,,,,
167,42,XXnoxious-innocuous.rankings,demelo,ES,perjudicial,tóxico,mortal || letal,,,,,
168,43,honest-dishonestXX.rankings,demelo,EN,misleading,deceptive || fraudulent,FALSE,,,,,
169,43,honest-dishonestXX.rankings,demelo,FR,trompeur,fallacieux,faux,,,,,
170,43,honest-dishonestXX.rankings,demelo,EL,παραπλανητικός,δόλιος || ανέντιμος,πλαστός || ψεύτικος,,,,,
171,43,honest-dishonestXX.rankings,demelo,ES,engañoso || equívoco,fraudulento,falso,,,,,
172,44,noticed-unnoticedXX.rankings,demelo,EN,neglected,ignored || overlooked,forgotten,,,,,
173,44,noticed-unnoticedXX.rankings,demelo,FR,négligé || délaissé,ignoré || omis,oublié,,,,,
174,44,noticed-unnoticedXX.rankings,demelo,EL,παραμελημένος,παρατημένος ,ξεχασμένος,,,,,
175,44,noticed-unnoticedXX.rankings,demelo,ES,descuidado,desatendido,ignorado,olvidado,,,,
176,45,hot-cold2XX.rankings,demelo,EN,cool,cold,frigid,icy || frozen,,,,
177,45,hot-cold2XX.rankings,demelo,FR,frais,froid,glacé,glacial || gelé,,,,
178,45,hot-cold2XX.rankings,demelo,EL,δροσερός,κρύος ,παγωμένος,κατεψυγμένος,,,,
179,45,hot-cold2XX.rankings,demelo,ES,fresco,frío,helado,congelado,,,,
180,46,light-darkXX.rankings,demelo,EN,dim,gloomy,dark,black,,,,
181,46,light-darkXX.rankings,demelo,FR,terne,sombre,foncé,noir,,,,
182,46,light-darkXX.rankings,demelo,EL,αμυδρός || αχνός,μουντός,σκοτεινός,μαύρος,,,,
183,46,light-darkXX.rankings,demelo,ES,sombrío,tenebroso,oscuro,negro,,,,
184,7,XXhot-cold.rankings,demelo,EN,warm,hot,overheated,stifling || sultry,,,,
185,7,XXhot-cold.rankings,demelo,FR,chaleureux,chaud,surchauffé,étouffant || suffocant,,,,
186,7,XXhot-cold.rankings,demelo,EL,θερμός,ζεστός,υπερθερμασμένος,πνιγηρός || αποπνικτικός,,,,
187,7,XXhot-cold.rankings,demelo,ES,tibio,caliente,sobrecalentado,abrasador || sofocante,,,,
188,47,XXgeneral-specific.rankings,demelo,EN,broad || widespread,general,universal,,,,,
189,47,XXgeneral-specific.rankings,demelo,FR,large || étendu || répandu,général,universel ,,,,,
190,47,XXgeneral-specific.rankings,demelo,EL,ευρύς,γενικός,καθολικός,,,,,
191,47,XXgeneral-specific.rankings,demelo,ES,extendido,común,universal,,,,,
192,48,XXmature-green.rankings,demelo,EN,mature,ripe,overripe,,,,,
193,48,XXmature-green.rankings,demelo,FR,mûr,fait,blet,,,,,
194,48,XXmature-green.rankings,demelo,EL,ώριμος,γινωμένος,υπερώριμος || παραγινωμένος,,,,,
195,48,XXmature-green.rankings,demelo,ES,maduro,pasado,,,,,,
196,49,cardinal-ordinalXX.rankings,demelo,EN,first,second,third,fourth,fifth,sixth,seventh,eighth
197,49,cardinal-ordinalXX.rankings,demelo,FR,premier,deuxième || second,troisième,quatrième,cinquième,sixième,septième,huitième
198,49,cardinal-ordinalXX.rankings,demelo,EL,πρώτος,δεύτερος,τρίτος,τέταρτος,πέμπτος,έκτος,έβδομος,όγδοος
199,49,cardinal-ordinalXX.rankings,demelo,ES,primero,segundo,tercero,cuarto,quinto,sexto,séptimo,octavo
200,50,proud-humbleXX.rankings,demelo,EN,humbled,humiliated,crushed,,,,,
201,50,proud-humbleXX.rankings,demelo,FR,abaissé,humilié,mortifié || écrasé,,,,,
202,50,proud-humbleXX.rankings,demelo,EL,ντροπιασμένος || ρεζιλεμένος,ταπεινωμένος,εξευτελισμένος,,,,,
203,50,proud-humbleXX.rankings,demelo,ES,ridiculizado,humillado,destrozado,,,,,
204,51,XXattractive-unattractive.rankings,demelo,EN,attractive,beautiful,mesmerizing || seductive,,,,,
205,51,XXattractive-unattractive.rankings,demelo,FR,attirant,beau,fascinant || captivant,,,,,
206,51,XXattractive-unattractive.rankings,demelo,EL,ελκυστικός || γοητευτικός,όμορφος,καθηλωτικός || σαγηνευτικός,,,,,
207,51,XXattractive-unattractive.rankings,demelo,ES,guapo,atractivo,seductor || cautivador,,,,,
208,52,XXknown-unknown.rankings,demelo,EN,known,famous,legendary,,,,,
209,52,XXknown-unknown.rankings,demelo,FR,connu,célèbre,légendaire,,,,,
210,52,XXknown-unknown.rankings,demelo,EL,γνωστός,διάσημος,μυθικός,,,,,
211,52,XXknown-unknown.rankings,demelo,ES,conocido,famoso,legendario,,,,,
212,53,XXintelligent-stupid.rankings,demelo,EN,bright || intelligent || smart || clever,brilliant,,,,,,
213,53,XXintelligent-stupid.rankings,demelo,FR,intelligent || malin || futé || astucieux,brilliant ,,,,,,
214,53,XXintelligent-stupid.rankings,demelo,EL,έξυπνος || ευφυής,πανέξυπνος || ευφυέστατος,σαΐνι,,,,,
215,53,XXintelligent-stupid.rankings,demelo,ES,listo || ingenioso,inteligente,brillante,,,,,
216,54,XXcomposed-discomposed.rankings,demelo,EN,calm || cool,serene,,,,,,
217,54,XXcomposed-discomposed.rankings,demelo,FR,calme || tranquille,serein,,,,,,
218,54,XXcomposed-discomposed.rankings,demelo,EL,ήρεμος || ψύχραιμος,γαλήνιος || ατάραχος,,,,,,
219,54,XXcomposed-discomposed.rankings,demelo,ES,tranquilo || calmado,sereno,,,,,,
220,55,possible-impossibleXX.rankings,demelo,EN,impractical || impracticable,unrealistic,infeasible,impossible,,,,
221,55,possible-impossibleXX.rankings,demelo,FR,impraticable,irréaliste,infaisable,impossible,,,,
222,55,possible-impossibleXX.rankings,demelo,EL,ανεφάρμοστος,ουτοπικός,ανέφικτος,αδύνατος,,,,
223,55,possible-impossibleXX.rankings,demelo,ES,impracticable,irrealizable,inviable,imposible,,,,
224,56,XXalarming-unalarming.rankings,demelo,EN,creepy,scary || frightening,terrifying,sinister,,,,
225,56,XXalarming-unalarming.rankings,demelo,FR,louche,flippant || effrayant ,terrifiant,sinistre,,,,
